企业名,成立,地区,赛道
艾肯工业,2019,常州,高端智能装备与器件
至格科技,2019,北京,VR/AR
寰芯微电子,2020,合肥,集成电路
华翊量子,2022,北京,量子科技
晶格领域*,2020,北京,集成电路
星锐医药,2021,苏州,创新药
派兹互连*,2023,成都,集成电路
四联传感器*,2020,重庆,集成电路
易动宇航*,2020,北京,商业航天
传信生物,2021,苏州,创新药
再凌生物,2021,上海,创新药
星阑科技,2018,北京,人工智能
Fabarta,2021,北京,大数据
极纳科技Jina AI,2020,北京,人工智能
纵苇科技*,2021,苏州,高端智能装备与器件
中科爱毕赛思*,2020,常州,集成电路
中瑞宏芯*,2021,苏州,集成电路
中科科乐*,2022,合肥,新材料
升滕半导体*,2019,合肥,集成电路
科霸生物,2021,扬州,创新药
星环聚能,2021,西安,清洁能源
心岭迈德*,2020,苏州,创新医疗器械
亚通生物*,2020,苏州,创新医疗器械
赋乐科技*,2020,深圳,大数据
六角形半导体*,2019,合肥,集成电路
铭镓半导体*,2020,北京,集成电路
糖智药业*,2019,武汉,创新药
家里泉,2020,苏州,智能硬件
安芯网盾,2019,北京,网络工具
启科量子,2019,合肥,量子科技
爱博生Absea**,2020,苏州,创新药
洞隐科技*,2021,厦门,企业数字运营
能斯特,2020,成都,新材料
华辰芯光,2021,无锡,集成电路
众为光电,2019,苏州,新材料
瓴方生物*,2020,无锡,创新药
博智复材*,2022,无锡,新材料
赛博昆仑*,2021,北京,网络工具
合光光掩模科技*,2023,合肥,集成电路
利科新材料,2021,合肥,新材料
德米特*,2020,马鞍山,农业科技
舜铭存储*,2023,无锡,集成电路
圆周率半导体,2021,南通,集成电路
高能时代能源*,2021,珠海,动力电池
锐正基因,2021,苏州,创新药
乐聚机器人,2016,深圳,机器人
芯视佳,2020,深圳,集成电路
伯仪生物*,2022,常州,数字医疗
安龙生物*,2019,北京,创新药
高灯科技,2017,深圳,企业数字运营
易冲科技*,2016,成都,集成电路
宜宾锂宝*,2017,宜宾,新材料
微纳星空,2017,北京,商业航天
凯莱英生物,2022,上海,创新药
峰飞航空,2019,上海,无人机
芯长征,2017,南京,集成电路
聚盟,2017,苏州,智慧物流
京西智行*,2022,张家口,新能源汽车
XSKY星辰天合,2015,北京,云服务
晟斯生物,2020,南通,创新药
觅因生物,2018,杭州,数字医疗
德昇济医药,2020,无锡,创新药
珍建电子*,2015,南京,集成电路
臻和科技,2014,无锡,数字医疗
蓝深新材料*,2014,西安,新材料
重庆星景*,2019,重庆,新型显示
隆平生物*,2019,三亚,农业科技
兴森半导体*,2022,广州,集成电路
珞安科技,2016,北京,工业互联网
康诺思腾*,2019,深圳,创新医疗器械
贝斯平,2016,北京,云服务
Wook*,2014,深圳,产业互联网
夏禾科技*,2017,北京,新型显示
兴科半导体,2020,广州,集成电路
赛赋医药,2016,北京,创新药
华碧新能源*,2022,合肥,清洁能源
元象XVERSE,2021,深圳,VR/AR
前海粤十*,2019,深圳,智慧物流
